time,id,mass,radius,px,py,pz,vx,vy,vz
1.0007306864088505e+01,0,1.0000000000000000e+02,1.9741257240167391e-06,3.3598142544342928e+00,-5.6541856653963122e-04,0.0000000000000000e+00,3.3567218183432329e-01,-7.0975789808440116e-05,0.0000000000000000e+00
1.0007306864088505e+01,1,1.0000000000000000e-03,1.9741257240167395e-08,3.3424401053090667e+00,-1.2356453498271947e+00,0.0000000000000000e+00,7.0263607452714725e+00,1.3240474215064517e+00,0.0000000000000000e+00

1.2004942542002293e+01,0,1.0000000000000000e+02,1.9741257240167391e-06,4.0305013820632825e+00,-6.9628156067910914e-04,0.0000000000000000e+00,3.3590396245997894e-01,1.6836617911600115e-05,0.0000000000000000e+00
1.2004942542002293e+01,1,1.0000000000000000e-03,1.9741257240167395e-08,3.7384376578433876e+00,3.1724143362666141e-01,0.0000000000000000e+00,-1.6151701820296473e+01,-7.4571933504975636e+00,0.0000000000000000e+00

1.4019257369158270e+01,0,1.0000000000000000e+02,1.9741257240167391e-06,4.7067794391149640e+00,-8.0247566686511898e-04,0.0000000000000000e+00,3.3568186395036070e-01,-1.4165613076734838e-04,0.0000000000000000e+00
1.4019257369158270e+01,1,1.0000000000000000e-03,1.9741257240167395e-08,5.0313283872895553e+00,-6.9305817279894188e-01,0.0000000000000000e+00,6.0581491415320929e+00,8.3920815173973065e+00,0.0000000000000000e+00

1.6017715477002209e+01,0,1.0000000000000000e+02,1.9741257240167391e-06,5.3777394016373874e+00,-9.2223265772705028e-04,0.0000000000000000e+00,3.3573779320215985e-01,-2.1751636138600926e-04,0.0000000000000000e+00
1.6017715477002209e+01,1,1.0000000000000000e-03,1.9741257240167395e-08,5.7563001917918575e+00,-2.5552004225677649e-01,0.0000000000000000e+00,4.6522396161643081e-01,1.5978104579263366e+01,0.0000000000000000e+00

1.8026901480891507e+01,0,1.0000000000000000e+02,1.9741257240167391e-06,6.0523048108875441e+00,-1.0337780565182460e-03,0.0000000000000000e+00,3.3566381855077915e-01,-1.0166045230630634e-04,0.0000000000000000e+00
1.8026901480891507e+01,1,1.0000000000000000e-03,1.9741257240167395e-08,6.1176044943831958e+00,-7.0107896517140378e-01,0.0000000000000000e+00,7.8626890996857686e+00,4.3925136712930657e+00,0.0000000000000000e+00

2.0000517129211332e+01,0,1.0000000000000000e+02,1.9741257240167391e-06,6.7149246413729253e+00,-1.1561676992037501e-03,0.0000000000000000e+00,3.3603167672067480e-01,-1.7754980076587054e-04,0.0000000000000000e+00
2.0000517129211332e+01,1,1.0000000000000000e-03,1.9741257240167395e-08,6.7889688617326804e+00,1.4315307180203990e-01,0.0000000000000000e+00,-2.8923127889876987e+01,1.1981448517249522e+01,0.0000000000000000e+00

2.2002287311967009e+01,0,1.0000000000000000e+02,1.9741257240167391e-06,7.3870012980255417e+00,-1.2659671901240391e-03,0.0000000000000000e+00,3.3570684592968175e-01,3.9008924655767179e-05,0.0000000000000000e+00
2.2002287311967009e+01,1,1.0000000000000000e-03,1.9741257240167395e-08,7.0449406823105134e+00,-4.3418116084980946e-01,0.0000000000000000e+00,3.5599512094271306e+00,-9.6744240249142219e+00,0.0000000000000000e+00

