R,R/Rg,Tc,rho,P,cs,H,visc,Sigma,Q,grad_T,grad_Sigma,grad_P
9.870628713769017,10.0,432915.0279644823,6.120396745367739e-07,16.811645198407437,5241.014004255308,16.252986850154937,851.8213169263938,9.947458922368025e-06,54078367861.642334,0.3749993325160911,0.1861862064977429,1.4999975117895903
10.008081241469997,10.139254075588154,430675.74503169867,5.96395128379737e-07,16.466497091992515,5254.52626539552,16.636441610137993,874.1661940318902,9.921878829851213e-06,53241593989.58242,0.37500008620924064,0.1613631368195172,1.500000513733312
10.147447851639194,10.280447320933092,428448.0360133117,5.819490348037848e-07,16.128433640339153,5264.457448457525,17.017254797939273,895.8661377331097,9.903161430082656e-06,52345837565.90863,0.37500003134266535,0.11297566907782652,1.5000002695368266
10.288755198655096,10.423606739764017,426231.85955226154,5.685935904221426e-07,15.797312178344,5270.970922371635,17.395443724957154,916.908780560013,9.89092374978624e-06,51398109997.53844,0.3749994941151158,0.06701490762606,1.4999980976394909
10.432030308069244,10.56875971184804,424027.1432317403,5.562332971991734e-07,15.472988277117713,5274.224438447676,17.771026177135973,937.2838055974394,9.884822487172854e-06,50405056519.58437,0.37499956563777914,0.02330898902701506,1.4999983622760737
10.57730058177502,10.715933998226712,421833.8333033012,5.447835177253468e-07,15.155323189290879,5274.370349119081,18.144020593538386,956.9828423236485,9.884549167209295e-06,49372954933.39367,0.37500047968563877,-0.018297858479002116,1.500001998363473
10.724593803248332,10.865157746525384,419651.8554946509,5.341688462751161e-07,14.844178035676356,5271.555697146183,18.5144458280499,975.9993238436084,9.889826408662806e-06,48307714023.43462,0.37500018563014237,-0.0579630683466803,1.500000803224225
10.873938142861306,11.016459496336564,417481.18044218747,5.243224471279627e-07,14.539423091225945,5265.921270239095,18.882317185763604,994.3279569991378,9.900408607379406e-06,47214847315.26774,0.3749996662293711,-0.09581589262961643,1.4999987077508194
11.025362163269994,11.169868184678231,415321.72313347925,5.151840525392529e-07,14.24092345081283,5257.603979549565,19.24765414524177,1011.9654303101681,9.916070604087258e-06,46099540654.07706,0.3749995506750565,-0.13197284145485355,1.4999982285891065
11.178894824877068,11.325413151528116,413173.44727771124,5.06700038585898e-07,13.948553669161644,5246.7348868119125,19.610472830116827,1028.909519446511,9.936613061506846e-06,44966602027.72586,0.3749998123202545,-0.166544386535179,1.4999992590411466
11.334565491370613,11.483124145435111,411036.26911468466,4.988218277094401e-07,13.66218440334976,5233.441172702026,19.970792563866244,1045.1596805522904,9.961853336272002e-06,43820519623.34433,0.37499982966261314,-0.19963368002512993,1.4999993130003304
11.49240393534003,11.643031329208767,408910.1598238351,4.915061209328547e-07,13.381696261615568,5217.844336433648,20.328628606455077,1060.7161964165466,9.991630857714607e-06,42665422333.19526,0.3749999436585085,-0.23133431236342972,1.499999754206101
11.652440343970168,11.80516528568805,406795.03262987983,4.847133939687979e-07,13.10696464028264,5200.062381328373,20.683999828876797,1075.5808940554473,1.0025797627786117e-05,41505143655.6567,0.37500062616715013,-0.26172965947745297,1.5000024700194672
11.814705324814735,11.969557023590434,404690.8537448716,4.784082973245419e-07,12.837874338028596,5180.208122612095,21.036921650061934,1089.7563240640507,1.0064223677338401e-05,40343188641.486145,0.3749998899742195,-0.290900489186356,1.4999995115125557
11.97922991165008,12.136237983442406,402597.5595158188,4.725585477271033e-07,12.574308629055729,5158.390859551367,21.387412027953214,1103.2463071445284,1.0106789819912473e-05,39182784519.00458,0.37499953140473963,-0.31891925106310737,1.499998063924977
12.146045570410557,12.305240043592615,400515.09635846555,4.6713500686371794e-07,12.316154423318263,5134.715145881555,21.735485961478755,1116.055289695009,1.0153391733938859e-05,38026861958.534546,0.37500077243521446,-0.3458437761896107,1.5000030151085184
12.315184205206469,12.476595526308698,398443.387875503,4.621108406428389e-07,12.063298140811805,5109.282925750829,22.081163846305607,1128.1891342063575,1.0203931014711296e-05,36878114154.19911,0.37500136809887863,-0.371741234631628,1.5000053851443909
12.486678164425848,12.650337203959031,396382.4059219452,4.5746212000137593e-07,11.815634354175039,5082.190643333106,22.424458740263294,1139.653743915754,1.025832614245739e-05,35738943229.92566,0.3749999378857183,-0.39668234671731284,1.4999996519419483
12.660560246921237,12.826498305280605,394332.089834708,4.531667522438805e-07,11.573055812748565,5053.531814897608,22.76538661579685,1150.4560554137354,1.0316502005627444e-05,34611528992.34547,0.37499916109396736,-0.42070163413646355,1.4999965326580877
12.836863708282554,13.005112521734093,392292.3823446542,4.4920446872275355e-07,11.335457852841769,5023.39696939801,23.103965864751974,1160.6039210607014,1.0378389735109922e-05,33497836809.127903,0.3749999103814048,-0.4438473476178899,1.4999995178848167
13.015622267197344,13.186214013947485,390263.21410630917,4.4555675462464673e-07,11.10273656326895,4991.872700316686,23.440212564393384,1170.1055718981552,1.0443930343784941e-05,32399608680.044216,0.3750001698941219,-0.46617664303806805,1.5000005441693247
13.19687011189966,13.369837418249466,388244.55034466065,4.4220685528958687e-07,10.874794075825188,4959.0419885613,23.774141242055958,1178.9696466134237,1.0513073361185783e-05,31318381587.042225,0.37500042039067694,-0.48772356899200986,1.5000015345127622
13.380641906708604,13.556017853293682,386236.31721167115,4.3913908069623265e-07,10.651530098200292,4924.98548935029,24.105770486244488,1187.2056985436259,1.0585771322708554e-05,30255522612.690372,0.37500072008788266,-0.5085297562856397,1.500002721754413
13.566972798658085,13.744790926775373,384238.4796707227,4.363393669003129e-07,10.432850671240326,4889.7797428403,24.43511391714048,1194.823250460286,1.0661987290951287e-05,29212204971.64404,0.37499964791248885,-0.5286416756740095,1.499998421567966
13.755898424218762,13.936192742241428,382250.9796680572,4.3379462964635266e-07,10.218661188151295,4853.498663126467,24.762186736490424,1201.8324022164422,1.0741688601380073e-05,28189446587.773605,0.37499933377904426,-0.548081871612851,1.4999971535897885
13.947454916113665,14.130259905995336,380273.75990108104,4.3149275353442886e-07,10.008869053739325,4816.213718472877,25.087006333110107,1208.2438405694083,1.0824845999290001e-05,27188121909.43256,0.37500022228982743,-0.5668788141068717,1.5000006962046655
14.141678910228752,14.32702953409831,378306.7583876149,4.294225891066946e-07,9.803383076989617,4777.993379956362,25.409589078790173,1214.0684840587096,1.0911436089806784e-05,26208961094.069515,0.37500045938747917,-0.5850760905981645,1.5000016331564439
14.33860755261959,14.526539259467812,376349.937911388,4.275740918719821e-07,9.602116476101612,4738.902722992005,25.729947552354687,1219.3171851829509,1.1001443369943785e-05,25252553102.115356,0.37500067338942245,-0.6026975991217114,1.5000024776926466
14.538278506615718,14.728827239075025,374403.2305172728,4.259376933283025e-07,9.40498106837504,4699.005198929847,26.04809946644058,1224.0015481504606,1.1094852274409606e-05,24319383379.455654,0.37500027745625175,-0.6197674265595481,1.500000882436666
14.740729960023906,14.933932161242524,372466.6054146762,4.2450486687610724e-07,9.211894195041191,4658.360919887087,26.364058023956073,1228.1329758843253,1.119165519183042e-05,23409813892.07339,0.3749988724289892,-0.6363165720014194,1.4999952507286025
14.94600063243167,15.141893253043518,370539.99934282206,4.2326752777597835e-07,9.022771616970035,4617.027981213383,26.677838594346742,1231.723272683932,1.129184651576457e-05,22524112088.363457,0.37499988648266935,-0.6523565553342792,1.4999992952554067
