R,R/Rg,Tc,rho,P,cs,H,visc,Sigma,Q,grad_T,grad_Sigma,grad_P,zone
9.870628713769017,10.0,209161.4657005768,3.91517245626857e-06,0.9160774410161283,483.7162149632688,1.5000595828634522,725.6031436420889,1.1677812635693812e-05,4251572143.8422503,0.3749999999999277,0.1778180391519655,1.5000100607892077,Standard
10.05432279367872,10.186101701559759,207720.1719770907,3.783474989165392e-06,0.8910869755709698,485.3048306803674,1.5471929937394755,750.8602338565868,1.1639586031688015e-05,4162799344.88901,0.37500000000005684,0.14528340698370812,1.5000091143521104,Standard
10.241435451672185,10.375666787451859,206288.80994723854,3.664991766722184e-06,0.8667782768077442,486.3148234447806,1.5938938518377992,775.1342071462204,1.161541260682483e-05,4066111203.588834,0.375,0.08237531514691909,1.5000073093725632,Standard
10.432030308069244,10.56875971184804,204867.31117352084,3.558181333707435e-06,0.843132741842457,486.78135907679706,1.6401661278642243,798.4022968334749,1.1604280292250863e-05,3962781278.0119953,0.375,0.0235822360291138,1.5000056662876773,Standard
10.626172167174708,10.765446128423154,203455.6076900285,3.461732466454567e-06,0.8201322759866714,486.737941721822,1.6860137539367712,820.6468643058664,1.160531540647983e-05,3853990280.5700054,0.37500000000005684,-0.03148464825136443,1.5000041596645701,Standard
10.823927039312522,10.965792912678099,202053.63199919323,3.3745238629493033e-06,0.7977592787541402,486.2164860419764,1.7314406288542856,841.8549783518406,1.1617761828781133e-05,3740826458.8623824,0.375,-0.08316669212717898,1.5000027683104236,Standard
11.025362163269994,11.169868184678231,200661.31706856017,3.2955919338426895e-06,0.7759966302759526,485.24738323019113,1.7764506120330665,862.018010926717,1.1640964027031514e-05,3624287095.987173,0.375,-0.13176478974054362,1.5000014744398982,Standard
11.230546029159708,11.377741332214914,199278.596327583,3.2241047979824525e-06,0.7548276781066913,483.8595679656865,1.8210475301790237,881.1312711974027,1.1674352862388247e-05,3505281036.10903,0.37499999999994316,-0.17754510649302802,1.5000002630249014,Standard
11.439548401706883,11.589483034398107,197905.40366444105,3.159341218970407e-06,0.734236224406675,482.0805798985236,1.8652351740806261,899.1936543679117,1.171743390470524e-05,3384631859.677117,0.375,-0.22074409278877738,1.4999991212777104,Standard
11.652440343970168,11.80516528568805,196541.67342287794,3.1006733903627326e-06,0.7142065134863854,479.9366239457772,1.9090173001021342,916.2073180651008,1.1769777607634163e-05,3263081621.499786,0.375,-0.2615724645818034,1.4999980382453941,Standard
11.86929424150381,12.024861420374123,195187.34039906287,3.0475528036101325e-06,0.6947232197006601,477.45262748960715,1.9523976291476794,932.1773779410391,1.1831011083863195e-05,3141294951.035567,0.375,-0.3002186128277913,1.499997004484328,Standard
12.09018382696954,12.248646137509313,193842.3398384728,2.999498566467949e-06,0.6757714356810101,474.65229591401527,1.9953798482209872,947.1116261786509,1.1900811132860948e-05,3019863415.257058,0.37499999999994316,-0.33685140864440655,1.4999960117975775,Standard
12.315184205206469,12.476595526308698,192506.60743279636,2.9560877017950515e-06,0.6573366608952929,471.5581658959101,2.0379676121930137,961.020269361005,1.197889832713205e-05,2899310022.8369784,0.37499999999994316,-0.3716227825365479,1.499995053022758,Standard
12.544371878767548,12.70878709202059,191180.07931685893,2.9169470647612798e-06,0.6394047905246258,468.1916553726132,2.080164540618201,973.9156797194471,1.2065032035096407e-05,2780093762.646774,0.375,-0.4046698111052649,1.4999941218580943,Standard
12.777824773931242,12.945299782279154,189862.6920655695,2.8817465513517506e-06,0.6219621046478221,464.57311261313436,2.1219742193050073,985.8121679473531,1.2159006117329221e-05,2662614152.2303753,0.375,-0.4361163306987521,1.4999932127224156,Standard
13.015622267197344,13.186214013947485,188554.38269088758,2.8501933727934004e-06,0.604995257724222,460.72186362337277,2.163400203637044,996.7257735828429,1.226064521623737e-05,2547215721.2457776,0.375,-0.46607466459391844,1.4999923206372614,Standard
13.257845212275795,13.43161170046016,187255.08863881198,2.822027234996293e-06,0.5884912683662661,456.65625565851593,2.2044460128401564,1006.6740620249304,1.2369801663890271e-05,2434192347.997842,0.375,-0.4946468316349808,1.4999914411302484,Standard
13.504575967577836,13.681576279674719,185964.74778638984,2.7970162093643384e-06,0.5724375093932187,452.3937018666778,2.245115137928387,1015.6759483643399,1.2486352667968722e-05,2323791499.9094763,0.375,-0.5219257327735534,1.4999905701542389,Standard
13.755898424218762,13.936192742241428,184683.29843874613,2.774953249319806e-06,0.5568216981582155,447.9507208830904,2.285411034214094,1023.7515202903725,1.261019804102067e-05,2216218247.777508,0.375,-0.5479961659249568,1.499989704020095,Standard
14.011898034541792,14.195547660501015,183410.67932613424,2.755653173289207e-06,0.5416318871406328,443.342977837391,2.325337128754946,1030.9218871380663,1.2741258075266234e-05,2111639140.2903488,0.375,-0.5729356766240983,1.499988839339096,Standard
14.27266184117279,14.459729217920195,182146.8296010061,2.738950107029497e-06,0.5268564547964827,438.5853208100762,2.3648968132839263,1037.2090275368578,1.2879471846919978e-05,2010185831.4993522,0.375,-0.596815336050895,1.499987972974509,Standard
14.538278506615718,14.728827239075025,180891.6888351031,2.7246952479485254e-06,0.5124840966594015,433.69181847330225,2.4040934510876513,1042.6356605819603,1.3024795596189468e-05,1911958540.1287374,0.375,-0.6197002896824415,1.4999871020028763,Standard
14.808838343398804,15.002933220192185,179645.19701656676,2.7127549521683573e-06,0.4985038166853653,428.67579444957937,2.4429303748905005,1047.225119241194,1.3177201404613134e-05,1817029269.6066308,0.375,-0.6416505589228052,1.4999862236750232,Standard
15.084433344781791,15.2821403602587,178407.29454706953,2.703009076444614e-06,0.48490491883428893,423.54986024990876,2.481410884425545,1051.001233321042,1.3336676045784196e-05,1725444817.3717859,0.375,-0.6627213803843404,1.499985335388999,Standard
15.365157216034655,15.56654359271062,177177.9222389651,2.695349519143623e-06,0.4716769988818721,418.3259482372951,2.519538252037688,1053.9882284038029,1.3503219897649495e-05,1637229592.1131196,0.37499999999994316,-0.682963721888683,1.4999844346630198,Standard
15.651105406298374,15.856239617711372,175957.02131245847,2.6896789701695582e-06,0.45880993645543194,413.0153413807875,2.5573157175716936,1056.2106241113265,1.367684609933551e-05,1552388201.747813,0.37500000000005684,-0.702424726440654,1.499983519110856,Standard
15.942375141038697,16.151326935030905,174744.53339279548,2.6859097996317685e-06,0.446293887287409,407.62870329354007,2.5947464922538868,1057.6931480129135,1.3857579723572053e-05,1470907861.847835,0.37499999999994316,-0.7211479723737853,1.4999825864251761,Standard
16.239065455103827,16.451905877536625,173540.4005074719,2.6839630926464107e-06,0.43411927568062253,402.17610626238235,2.6318337580904716,1058.4606531587187,1.4045457095894999e-05,1392760602.5744996,0.375,-0.7391739132102089,1.499981634357141,Standard
16.541277226397337,16.75807864530768,172344.5650834615,2.6837678035458253e-06,0.42227678717942063,396.667057960367,2.6685806661648654,1058.5380417775334,1.4240525211962989e-05,1317905291.3721838,0.375,-0.7565400223247707,1.4999806607028177,Standard
16.849113210177755,17.069949340384078,171156.9699444634,2.685259995546858e-06,0.4107573614410057,391.1105282187914,2.7049903428292943,1057.9502018106948,1.4442841146822525e-05,1246289493.442659,0.37499999999994316,-0.7732812102271112,1.4999796632867515,Standard
17.162678073996457,17.387624002162504,169977.55830816802,2.6883822003627188e-06,0.3995521853015688,385.5149723396975,2.7410658800324432,1056.721936921996,1.4652471700854434e-05,1177851143.314177,0.37500000000005684,-0.7894299517780325,1.4999786399519621,Standard
17.482078433285764,17.711210643450876,168806.27378354265,2.6930828121372215e-06,0.38865268603168757,379.88835646914697,2.7768103466040643,1054.8779187979403,1.4869492881703334e-05,1112520091.7516825,0.37499999999994316,-0.805016472227635,1.4999775885468694,Standard
17.80742288760933,18.040819287193827,167643.0603681347,2.6993155881326097e-06,0.37805052477600554,374.2381790322876,2.8122267793858096,1052.4426289431801,1.509398965455631e-05,1050219478.3659855,0.375,-0.8200690327594771,1.4999765069150044,Standard
18.13882205758716,18.376562003881716,166487.86244539454,2.7070391773525667e-06,0.3677375901719631,368.57149339459403,2.8473181896526065,1049.4403173298533,1.5326055576406035e-05,990866988.506954,0.37500000000005684,-0.8346139961444408,1.499975392886597,Standard
18.47638862250782,18.71855294965579,165340.62478201598,2.716216720348907e-06,0.35770599214280163,362.89492815950393,2.8820875591661292,1045.8949577329922,1.5565792583716348e-05,934375970.1932641,0.375,-0.848676017060086,1.499974244268003,Standard
18.820237358640615,19.06690840512252,164201.29252529558,2.7268154773882757e-06,0.34794805585997485,357.2147077134612,2.9165378447365176,1041.8302137428032,1.5813310726782736e-05,880656442.7733053,0.375,-0.8622781994982915,1.499973058833973,Standard
19.17048517826077,19.421746814890255,163069.81120050987,2.7388065145046293e-06,0.3384563158704213,351.53667066751177,2.9506719730035327,1037.2694016216,1.606872804387063e-05,829615986.5678223,0.375,-0.8754421780428459,1.4999718343205473,Standard
19.527251169400813,19.78318882784164,161946.12670831085,2.7521644014308535e-06,0.3292235103840806,345.8662889990612,2.9844928473423664,1032.235465654546,1.633217033523098e-05,781160543.5226945,0.375,-0.8881882509875538,1.4999705684155629,Standard
19.890656636341838,20.151357338155574,160830.1853221393,2.7668669652186625e-06,0.3202425757173886,340.2086847728922,3.0180033413899507,1026.750947414469,1.6603771110400488e-05,735195113.2167354,0.375,-0.9005355336327625,1.4999692587521167,Standard
20.26082514085825,20.52637752709252,159721.93368565603,2.7828950511911114e-06,0.3115066408883807,334.5686474051195,3.0512063031935823,1020.8379658134518,1.6883671445862673e-05,691624373.4971163,0.375,-0.912501915449127,1.499967902903677,Standard
20.637882544230084,20.9083769055575,158621.31881019069,2.800232314152822e-06,0.303009022359315,328.95064978674503,3.0841045561146374,1014.5181977441708,1.7172019900899282e-05,650353220.1830742,0.375,-0.9241042693913073,1.499966498373567,Standard
21.021957050037248,21.297485357455198,157528.2880722081,2.818865037577027e-06,0.29474321892278965,323.3588633320703,3.1167008961318916,1007.8128591192534,1.746897249493013e-05,611287233.7421588,0.37500000000005684,-0.9353585082504594,1.499965042589963,Standard
21.413179247750058,21.693835183851842,156442.78921079257,2.8387819633536944e-06,0.2867029067273987,317.79717288770354,3.148998093822131,1000.7426916454406,1.777469265311495e-05,574333084.9464366,0.375,-0.9462796024265003,1.4999635328996987,Standard
21.811682157131095,22.09756114795902,155364.77032514868,2.8599741417982873e-06,0.2788819344391325,312.26919080552614,3.1809988946157555,993.3279507749351,1.8089351189090567e-05,539398880.7990971,0.37499999999994316,-0.9568816755910632,1.49996196656042,Standard
22.21760127346337,22.50880052095462,154294.17987212012,2.8824347969521376e-06,0.2712743185348196,306.7782704051708,3.2127060190503145,985.5883958445372,1.8413126304667464e-05,506394457.66607124,0.375,-0.9671780958467195,1.4999603407345035,Standard
22.631074613620132,22.927693128656486,153230.96666372515,2.9061592090481157e-06,0.2638742387240024,301.3275186720464,3.244122161096719,977.543281072271,1.8746203627576758e-05,475231625.9539768,0.375,-0.9771814657934783,1.4999586524818938,Standard
23.052242762992197,23.354381399064792,152175.07986470882,2.9311445990793287e-06,0.25667603349570933,295.91980893795204,3.2752499921840967,969.2113519111467,1.908877619869593e-05,445824374.6751228,0.375,-0.9869036827072648,1.4999568987544762,Standard
23.481248923288334,23.789010410788933,151126.46899011315,2.9573900357569936e-06,0.24967419578676936,290.5577924128638,3.306092158939256,960.610839214869,1.9441044544835444e-05,418089034.55352175,0.375,-0.9963560918469057,1.4999550763860157,Standard
23.91823896122555,24.231727942375993,150085.08390286253,2.984896352821619e-06,0.24286336876831321,285.2439092207714,3.3366512807226956,951.7594550198351,1.9803216768520583e-05,391944407.2652775,0.375,-1.0055493562869628,1.4999531820886318,Standard
24.36336145812525,24.682684522556926,149050.87481136693,3.01366605645266e-06,0.2362383417472003,279.9803998590947,3.366929957767588,942.6743958733341,2.0175508524992995e-05,367311868.044454,0.375,-1.0144936146031966,1.4999512124437615,Standard
24.81676776043249,25.142033481427966,148023.79226714122,3.0437032728427806e-06,0.22979404617934618,274.7693146277911,3.3969307614593753,933.372337164253,2.0558143221756173e-05,344115434.62751484,0.37499999999994316,-1.023198494438617,1.4999491638948825,Standard
25.278612031175484,25.609931002584595,147003.78716244063,3.075013668656073e-06,0.22352555179174322,269.6125242589534,3.42665624393102,923.8694396939462,2.0951352000270474e-05,322281819.1884246,0.375,-1.0316731139251942,1.4999470327396125,Standard
25.749051302382544,26.08653617622548,145990.81072791317,3.1076044096223552e-06,0.2174280628103623,264.5117286440604,3.4561089301473316,914.1813474954448,2.135537393797991e-05,301740453.4328731,0.375,-1.0399261549632968,1.4999448151216939,Standard
26.228245528474833,26.572011053245053,144984.81453026744,3.141484098450374e-06,0.21149691429090484,259.46846636422646,3.4852913249797384,904.3231949250355,2.1770456079753042e-05,282423499.98481554,0.37500000000005684,-1.0479658374877658,1.4999425070243433,Standard
26.716357640652458,27.06652070033241,143985.75046995716,3.1766627393631235e-06,0.20572756854971655,254.48412288541527,3.5142059085888135,894.309608285968,2.219685362166666e-05,264265844.35679832,0.37500000000005684,-1.0558000221213888,1.4999401042591103,Standard
27.213553602292905,27.57023325609584,142993.57077888123,3.2131516954230686e-06,0.2001156116920463,249.5599389149256,3.542855138709654,884.1547120008114,2.263483002036853e-05,247205075.08181843,0.375,-1.0634361689409104,1.4999376024588287,Standard
27.720002465380347,28.083319988231725,142008.22801809994,3.250963655617887e-06,0.1946567502350356,244.69701817269632,3.571241450150548,873.8721340265749,2.3084657146302924e-05,231181451.22520974,0.37499999999994316,-1.070881365051548,1.4999349970693174,Standard
28.235876427985126,28.60595535175742,141029.67507556672,3.290112601689785e-06,0.18934680782283148,239.89633498701215,3.5993672568378803,863.4750131876631,2.3546615413626138e-05,216137860.32766232,0.375,-1.0781423902534755,1.4999322833372162,Standard
28.761350892813034,29.13831704832787,140057.86516387545,3.330613789019684e-06,0.1841817220313409,235.15874117411215,3.627234948355398,852.976004398001,2.402099399049746e-05,202019766.77274925,0.37500000000005684,-1.0852256918124397,1.4999294563026524,Standard
29.296604526844014,29.680586086656024,139092.7518180236,3.3724837157776264e-06,0.17915754126012573,230.48497316762226,3.6548468949592974,842.3872885164611,2.4508090908307144e-05,188775154.6736076,0.375,-1.0921374253276213,1.4999265107877022,Standard
29.84181932208091,30.23294684405778,138134.28889319062,3.41574011388602e-06,0.1742704217091329,225.87565817007348,3.682205442559362,831.7205778555227,2.5008213311376526e-05,176354463.1544378,0.37499999999994316,-1.098883482592214,1.4999234413846807,Standard
30.397180657428724,30.795587129142266,137182.4305625315,3.460401926060044e-06,0.16951662443786747,221.33132061812148,3.7093129170433174,820.9871265150539,2.5521677592320342e-05,164710518.56514394,0.37499999999994316,-1.1054694570135553,1.4999202424481837,Standard
30.96287736172539,31.368698245668767,136237.13131498566,3.5064892968472192e-06,0.1648925125048204,216.85238797198477,3.73617162260371,810.1977382347795,2.6048809615561836e-05,153798462.02142927,0.375,-1.1119007087035868,1.4999169080809338,Standard
31.53910177794571,31.952475057592117,135298.345953101,3.554023561579846e-06,0.1603945481849289,212.4391963995528,3.762783842711333,799.3627757708167,2.658994491425079e-05,143575674.59835845,0.375,-1.1181823729911002,1.4999134321207634,Standard
32.12604982859992,32.54711605531848,134366.02959087293,3.6030272423649886e-06,0.15601929026295616,208.0919960618357,3.7891518387358536,788.4921695039187,2.714542892882435e-05,134001700.25309834,0.375,-1.1243193504008673,1.4999098081303828,Standard
32.72392108234952,33.15282342319425,133440.13765159808,3.653524039105232e-06,0.1517633914006971,203.81095637250542,3.815277852509589,777.5954279468181,2.7715617198965958e-05,125038167.9281819,0.375,-1.1303163186340726,1.499906029383851,Standard
33.33291882186277,33.76980310825091,132520.62586574318,3.7055388302458597e-06,0.14762359557602572,199.5961707910767,3.841164104954201,766.681646728992,2.8300875619605228e-05,116648712.50622803,0.375,-1.1361777723211333,1.4999020888503196,Standard
33.95325011293294,34.39826489022924,131607.45026882816,3.759097672024604e-06,0.1435967355918006,195.44766149920886,3.8668127966701733,755.7595185644011,2.8901580678385238e-05,108798895.85468179,0.37500000000005684,-1.14190802239861,1.4998979791812417,Standard
34.585125874883026,35.03842245290674,130700.5671993243,3.814227802170888e-06,0.13967973065273565,191.36538379283044,3.8922261072996442,744.8373428318708,2.9518119720231837e-05,101456128.06579083,0.3749999999998863,-1.1475111885594913,1.4998936926954798,Standard
35.228760952280446,35.69049345675229,129799.93329656647,3.870957640770968e-06,0.1358695840083664,187.3492303883582,3.917406197364512,733.9230361948261,3.015089118401061e-05,94589589.6070939,0.375,-1.152991208393729,1.4998892213636736,Standard
35.88437418798658,36.354699612933196,128905.5054986801,3.9293167977477874e-06,0.13216338066032934,183.39903539954395,3.9423552076523407,723.024142285808,3.080030488445735e-05,88170154.28769733,0.375,-1.1583518867975329,1.499884556789766,Standard
36.552188497565716,37.03126675869927,128017.2410405221,3.9893360831886095e-06,0.1285582851321894,179.51457810588337,3.96707525812235,712.147841276122,3.14667823120795e-05,82170313.54623292,0.37500000000005684,-1.1635968517182675,1.4998796901958826,Standard
37.2324309450787,37.720424934169976,127135.09745163641,4.051047510903997e-06,0.1250515393000938,175.69558673300313,3.9915684510703833,701.3009609957554,3.215075687575068e-05,76564102.57934311,0.37499999999994316,-1.1687295940409683,1.4998746124024933,Standard
37.925332820287245,38.422408460550606,126259.03255422285,4.114484316869834e-06,0.12164046028263112,171.9417417509503,4.01583686768478,690.4899856174018,3.28526742586235e-05,71327027.79181844,0.375,-1.1737534746673361,1.499869313810052,Standard
38.63112971729479,39.13745601980384,125389.00446112118,4.179680965972834e-06,0.11832243838823424,168.25267930572028,4.039882571236908,679.7210666910921,3.3572992678953594e-05,66435996.58437494,0.375,-1.1786716990714297,1.4998637843802953,Standard
39.35006161465122,39.86581073580441,124524.97157380774,4.246673168924326e-06,0.11509493511859317,164.62799429371248,4.063707605986548,669.0000325696693,3.431218322857236e-05,61869248.91355903,0.37499999999994316,-1.1834873677709368,1.4998580136131636,Standard
40.08237295694801,40.607720257003656,123666.89258040678,4.315497898633093e-06,0.1119554812265344,161.06724333154645,4.087313997137145,658.3323981493243,3.507073020539042e-05,57606291.06715292,0.375,-1.1882034648488684,1.4998519905263379,Standard
40.82831273793207,41.36343684063274,122814.72645371535,4.38619340763968e-06,0.10890167482688205,157.56994758720035,4.110703751005298,647.7233745924127,3.584913145282626e-05,53627831.66393126,0.375,-1.1928228456564227,1.499845703632559,Standard
41.5881345851664,42.13321743847289,121968.43244924129,4.458799244540478e-06,0.1059311795588495,154.13559551195286,4.13387885633561,637.1778792955598,3.664789868945657e-05,49915719.95583349,0.37499999999994316,-1.197348263015101,1.4998391409154124,Standard
42.36209684626594,42.91732378422157,121127.97010325556,4.5333562775988466e-06,0.10304172279857642,150.76364533125084,4.156841282902738,626.7005448738502,3.7467557896278775e-05,46452886.31179656,0.37500000000005684,-1.2017823752847505,1.4998322898037486,Standard
43.150462676738876,43.716022482485045,120293.29923085714,4.609906714518659e-06,0.10023109392041542,147.4535275030692,4.179592982592458,616.295728810332,3.830864967223227e-05,43223285.10968955,0.375,-1.206127727123203,1.49982513714707,Standard
43.95350012946208,44.529585099426555,119464.37992405197,4.688494124942382e-06,0.09749714260565767,144.20464702425554,4.202135889826153,605.9675227403363,3.917172961151197e-05,40211839.897788316,0.37499999999994316,-1.2103867810676263,1.4998176691859157,Standard
