R,R/Rg,Tc,rho,P,cs,H,visc,Sigma,Q,grad_T,grad_Sigma,grad_P,gamma,f_thermal,v_disk,zone,grad_P_raw,grad_Sigma_raw
0.9870628713769017,10.0,614403.17463877,0.49762422894827507,72.94588388507152,12.10736503923816,0.0037546330655287754,0.004545871311275069,0.0018683415395222547,6651410.88601171,0.3517910409955512,0.11198981635513709,1.453591941977532,1.3333333333333333,0.8109676733945894,3182.895536051477,Standard,1.453591941977532,0.11198981635513709
0.9907067823744368,10.03691670615117,613607.2365160679,0.4943881754612189,72.55620825193425,12.114437448493979,0.0037776489368963363,0.004576409174840045,0.001867570693324687,6621343.696052801,0.35222240545090244,0.10684176903077969,1.4544545609001034,1.3333333333333333,0.8109676869691731,3177.036469457111,Standard,1.4544545609001034,0.10684176903077969
0.994364145491125,10.073969696621639,612810.3813479119,0.4912135734464226,72.16815546438377,12.120976890544723,0.003800637483483475,0.004606743910664126,0.0018668709925383057,6590870.299113413,0.3530767259831009,0.09660966189449027,1.456163018785901,1.3333333333333333,0.810967699925169,3171.1881706302556,Standard,1.456163018785901,0.09660966189449027
0.9980350103877603,10.111159474528234,612012.6533133602,0.48809898645071326,71.78173064047748,12.126989722579406,0.0038235987734663037,0.00463687430290931,0.0018662414773568943,6560004.567414146,0.3539144993562786,0.08650455488532316,1.457838453223303,1.3333333333333333,0.8109677122859466,3165.350639958053,Standard,1.457838453223303,0.08650455488532316
1.0017194269084662,10.148486544845106,611214.095179664,0.48504302071786015,71.3969384149654,12.132482249904276,0.0038465328772522953,0.004666799185693671,0.0018656812105487881,6528760.186332364,0.3547362550038997,0.07652451638341518,1.459481917836456,1.3333333333333333,0.8109677240735788,3159.52385760087,Standard,1.459481917836456,0.07652451638341518
1.0054174450813758,10.185951414410619,610414.7483535254,0.4820443236693882,71.01378295913834,12.137460726090362,0.0038694398674327377,0.004696517442293316,0.001865189276847512,6497150.653387511,0.3555425032027415,0.06666765052796109,1.4610944282098899,1.3333333333333333,0.8109677353089259,3153.7078037554197,Standard,1.4610944282098899,0.06666765052796109
1.0091291151193087,10.223554591934207,609614.6529304087,0.4791015824494835,70.63226799993897,12.141931353118176,0.0038923198187328758,0.004726028004343596,0.0018647647823643386,6465189.277361938,0.3563337359378238,0.05693209676610422,1.462676963715694,1.3333333333333333,0.8109677460116728,3147.9024586546975,Standard,1.462676963715694,0.05693209676610422
1.012854487420453,10.261296588003288,608813.8477413335,0.4762135225261289,70.25239683803014,12.145900281551958,0.003915172807970146,0.0047553298510649164,0.0018644068540121489,6432889.177603714,0.35711042771595203,0.047316029545072524,1.4642304692147263,1.3333333333333333,0.8109677562004427,3142.107802567921,Standard,1.4642304692147263,0.047316029545072524
1.0165936125690522,10.299177915090219,608012.3703979931,0.4733789063504388,69.87417236523432,12.149373610716289,0.003937998914012095,0.004784422008492795,0.001864114638948212,6400263.28346216,0.35787303619190425,0.03781765708754392,1.465755856020678,1.3333333333333333,0.8109677658928597,3136.323815800474,Standard,1.465755856020678,0.03781765708754392
1.0203465413360884,10.337199087559213,607210.2573362074,0.47059653207247587,69.49759708134947,12.152357388860148,0.003960798217729013,0.004813303548700328,0.0018638873040398073,6367324.333827841,0.3586220029235392,0.028435220952133022,1.4672540035162456,1.3333333333333333,0.8109677751055631,3130.5504786938495,Standard,1.4672540035162456,0.028435220952133022
1.0241133246799752,10.37536062167337,606407.5438571427,0.467865232304853,69.12267311002915,12.154857613357484,0.003983570801957342,0.004841973589051979,0.001863724035336955,6334084.876849888,0.3593577540334536,0.019166995592740932,1.4687257604446131,1.3333333333333333,0.810967783854304,3124.7877716255816,Standard,1.4687257604446131,0.019166995592740932
1.0278940137472454,10.413663035601637,605604.264167327,0.46518387293897007,68.74940221424215,12.156880230893975,0.004006316751457591,0.0048704312914494155,0.0018636240375670778,6300557.269745963,0.3600807008974698,0.010011287944280411,1.470171946395567,1.3333333333333333,0.8109677921539499,3119.0356750091896,Standard,1.470171946395567,0.010011287944280411
1.0316886598732504,10.452106849425896,604800.4514163116,0.4625513520035665,68.37778581073064,12.158431137690517,0.004029036152883417,0.004898675861609855,0.0018635865336354823,6266753.678779356,0.3607912407230742,0.0009664365322805679,1.4715933528691494,1.3333333333333333,0.8109678000186163,3113.2941692941126,Standard,1.4715933528691494,0.0009664365322805679
1.035497314582854,10.490692585147983,603996.1377336531,0.45996659857446603,68.00782498429521,12.159516179690582,0.00405172909473799,0.004926706548318966,0.0018636107641533987,6232686.079285032,0.3614897570168978,-0.007969189464802184,1.4729907439368617,1.3333333333333333,0.810967807461638,3107.5632349656676,Standard,1.4729907439368617,-0.007969189464802184
1.0393200295911313,10.529420766696791,603191.3542640539,0.4574285717238545,67.63952050130608,12.160141152781039,0.0040743956673405255,0.004954522642714029,0.001863695986971679,6198366.255848926,0.3621766202704748,-0.01679719018329706,1.4743648579196815,1.3333333333333333,0.8109678144956081,3101.8428525449744,Standard,1.4743648579196815,-0.01679719018329706
1.0431568568040754,10.56829191993541,602386.1312008654,0.45493625950986705,67.2728728225551,12.160311803019336,0.004097035962794283,0.004982123477576201,0.0018638414767279078,6163805.802593377,0.36285218850571255,-0.025519135698914397,1.4757164085085606,1.3333333333333333,0.8109678211324524,3096.133002588889,Standard,1.4757164085085606,-0.025519135698914397
1.0470078483192964,10.607306572668207,601580.497818394,0.45248867800608455,66.90788211564904,12.160033826863645,0.004119650074954898,0.005009508426629291,0.0018640465244074216,6129016.123559467,0.3635168076298214,-0.03413656706766233,1.4770460851186726,1.3333333333333333,0.8109678273834762,3090.4336656899686,Standard,1.4770460851186726,-0.03413656706766233
1.0508730564267332,10.646465254648062,600774.4825034373,0.45008487037156253,66.54454826714297,12.159312871389808,0.004142238099393677,0.005036676903831879,0.0018643104369227032,6094008.433157697,0.36417081206855073,-0.04265099639951586,1.4783545544937624,1.3333333333333333,0.8109678332593195,3084.744822476384,Standard,1.4783545544937624,-0.04265099639951586
1.054752533609362,10.68576849758351,599968.1127844101,0.4477239059498805,66.18287089362414,12.158154534553544,0.004164800133375606,0.005063628362710983,0.001864632536692696,6058793.756771904,0.3648145251602273,-0.05106390761511648,1.4796424613487034,1.3333333333333333,0.810967838770117,3079.0664536118775,Standard,1.4796424613487034,-0.05106390761511648
