R,R/Rg,Tc,rho,P,cs,H,visc,Sigma,Q,grad_T,grad_Sigma,grad_P,gamma,f_thermal,v_disk
0.39999999999999997,40523042.25064842,1571.845050244188,0.006034353898523762,3.7715741256070583e-05,0.07905802039211794,0.02,7.905802039211795e-06,0.0003025176420233894,328.8133504119533,1.0,0.5,2.5,1.0,0.0,1.5762115368367955
0.4001466627251418,40537900.30016721,1571.2689337847892,0.006031036613499546,3.768119159316504e-05,0.07904353079563438,0.020007333136257095,7.907251264471268e-06,0.00030246219719261405,328.63259077779423,1.0,0.5,2.5,1.0,0.0,1.5759226519263434
0.4002933792251711,40552763.797491096,1570.6930284849918,0.00602772115209723,3.764667357962304e-05,0.07902904385477519,0.020014668961258558,7.908700755390551e-06,0.00030240676252365676,328.4519305132175,1.0,0.5,2.5,1.0,0.0,1.575633819962142
0.4004401495198047,40567632.744617544,1570.1173342674012,0.006024407513314313,3.7612187186452074e-05,0.07901455956905368,0.020022007475990235,7.910150512018343e-06,0.0003023513380146552,328.2713695635966,1.0,0.5,2.5,1.0,0.0,1.5753450409344878
0.4005869736287668,40582507.14354475,1569.5418510546513,0.006021095696148835,3.757773238468616e-05,0.07900007793798318,0.02002934868143834,7.911600534403346e-06,0.0003022959236637472,328.0909078743345,1.0,0.5,2.5,1.0,0.0,1.5750563148336783
0.4007338515717886,40597386.996271655,1568.9665787694046,0.006017785699599396,3.754330914538587e-05,0.07898559896107718,0.02003669257858943,7.913050822594282e-06,0.0003022405194690711,327.9105453908648,1.0,0.5,2.5,1.0,0.0,1.5747676416500138
0.40088078336860883,40612272.30479793,1568.39151733435,0.006014477522665143,3.7508917439638244e-05,0.07897112263784922,0.020044039168430443,7.914501376639869e-06,0.0003021851254287654,327.73028205865063,1.0,0.5,2.5,1.0,0.0,1.574479021373795
0.4010277690389735,40627163.071123995,1567.8166666722075,0.0060111711643457705,3.7474557238556886e-05,0.07895664896781296,0.020051388451948676,7.91595219658885e-06,0.0003021297415409691,327.5501178231852,1.0,0.5,2.5,1.0,0.0,1.5741904539953255
0.4011748086026356,40642059.297250986,1567.2420267057232,0.006007866623641525,3.744022851328175e-05,0.07894217795048208,0.020058740430131783,7.917403282489963e-06,0.00030207436780382136,327.37005262999173,1.0,0.5,2.5,1.0,0.0,1.5739019395049103
0.4013219020793555,40656960.98518077,1566.6675973576728,0.006004563899553207,3.7405931234979345e-05,0.07892770958537045,0.02006609510396777,7.91885463439196e-06,0.00030201900421546185,327.1900864246235,1.0,0.5,2.5,1.0,0.0,1.5736134778928559
0.40146904948890066,40671868.13691596,1566.0933785508614,0.006001262991082159,3.737166537484255e-05,0.07891324387199196,0.020073452474445037,7.920306252343608e-06,0.00030196365077403057,327.0102191526636,1.0,0.5,2.5,1.0,0.0,1.5733250691494711
0.40161625085104613,40686780.75445989,1565.5193702081183,0.005997963897230277,3.733743090409058e-05,0.07889878080986058,0.020080812542552305,7.921758136393668e-06,0.00030190830747766777,326.83045075972484,1.0,0.5,2.5,1.0,0.0,1.5730367132650667
0.4017635061855738,40701698.83981664,1564.9455722523053,0.005994666617000005,3.730322779396908e-05,0.07888432039849044,0.020088175309278693,7.923210286590924e-06,0.00030185297432451405,326.65078119145045,1.0,0.5,2.5,1.0,0.0,1.5727484102299543
0.40191081551227315,40716622.39499102,1564.3719846063102,0.0059913711493943325,3.726905601574999e-05,0.07886986263739568,0.020095540775613662,7.924662702984164e-06,0.0003017976513127104,326.471210393513,1.0,0.5,2.5,1.0,0.0,1.5724601600344472
0.40205817885094075,40731551.42198858,1563.7986071930502,0.005988077493416801,3.7234915540731616e-05,0.07885540752609056,0.02010290894254704,7.926115385622184e-06,0.00030174233844039813,326.2917383116152,1.0,0.5,2.5,1.0,0.0,1.5721719626688624
0.40220559622138047,40746485.92281559,1563.2254399354695,0.0059847856480715,3.720080634023851e-05,0.07884095506408943,0.020110279811069023,7.92756833455379e-06,0.0003016870357057189,326.11236489148945,1.0,0.5,2.5,1.0,0.0,1.5718838181235162
0.40235306764340334,40761425.89947908,1562.6524827565424,0.005981495612363062,3.716672838562154e-05,0.07882650525090677,0.020117653382170166,7.929021549827796e-06,0.00030163174310681476,325.9330900788984,1.0,0.5,2.5,1.0,0.0,1.5715957263887284
0.40250059313682773,40776371.3539868,1562.0797355792697,0.005978207385296672,3.713268164825776e-05,0.07881205808605707,0.02012502965684139,7.930475031493025e-06,0.000301576460641828,325.7539138196339,1.0,0.5,2.5,1.0,0.0,1.5713076874548197
0.4026481727214794,40791322.28834723,1561.507198326682,0.005974920965878059,3.709866609955052e-05,0.07879761356905499,0.020132408636073972,7.93192877959831e-06,0.00030152118830890126,325.5748360595182,1.0,0.5,2.5,1.0,0.0,1.5710197013121134
0.40279580641719126,40806278.70456961,1560.9348709218361,0.005971636353113495,3.706468171092926e-05,0.07878317169941519,0.020139790320859566,7.933382794192494e-06,0.00030146592610617764,325.3958567444027,1.0,0.5,2.5,1.0,0.0,1.5707317679509332
0.4029434942438035,40821240.60466389,1560.3627532878181,0.005968353546009804,3.703072845384967e-05,0.07876873247665249,0.020147174712190175,7.93483707532443e-06,0.0003014106740318003,325.21697582016924,1.0,0.5,2.5,1.0,0.0,1.570443887361606
0.4030912362211635,40836207.990640774,1559.790845347743,0.005965072543574357,3.699680629979359e-05,0.07875429590028177,0.020154561811058177,7.936291623042973e-06,0.00030135543208391325,325.03819323272876,1.0,0.5,2.5,1.0,0.0,1.57015605953446
0.403239032369126,40851180.8645117,1559.2191470247528,0.005961793344815067,3.696291522026897e-05,0.07873986196981801,0.0201619516184563,7.937746437396992e-06,0.0003013002002606603,324.85950892802254,1.0,0.5,2.5,1.0,0.0,1.5698682844598244
0.4033868827075531,40866159.22828883,1558.6476582420182,0.005958515948740391,3.6929055186809825e-05,0.07872543068477626,0.020169344135377656,7.939201518435361e-06,0.00030124497856018584,324.68092285202107,1.0,0.5,2.5,1.0,0.0,1.5695805621280312
0.40353478725631403,40881143.08398509,1558.076378922738,0.005955240354359333,3.6895226170976294e-05,0.0787110020446717,0.020176739362815704,7.940656866206974e-06,0.00030118976698063465,324.50243495072493,1.0,0.5,2.5,1.0,0.0,1.5692928925294138
0.4036827460352855,40896132.43361412,1557.5053089901392,0.005951966560681445,3.686142814435454e-05,0.07869657604901956,0.020184137301764278,7.942112480760723e-06,0.0003011345655201518,324.32404517016414,1.0,0.5,2.5,1.0,0.0,1.5690052756543076
0.4038307590643512,40911127.27919031,1556.9344483674772,0.005948694566716822,3.682766107855682e-05,0.07868215269733515,0.02019153795321756,7.94356836214551e-06,0.0003010793741768827,324.14575345639855,1.0,0.5,2.5,1.0,0.0,1.568717711493049
0.4039788263634025,40926127.622728795,1556.3637969780352,0.005945424371476095,3.679392494522126e-05,0.07866773198913392,0.020198941318170124,7.945024510410253e-06,0.000301024192948973,323.9675597555175,1.0,0.5,2.5,1.0,0.0,1.5684302000359773
0.4041269479523376,40941133.46624543,1555.7933547451235,0.005942155973970451,3.67602197160121e-05,0.07865331392393135,0.020206347397616883,7.94648092560387e-06,0.0003009690218345688,323.78946401364004,1.0,0.5,2.5,1.0,0.0,1.5681427412734323
0.4042751238510626,40956144.811756834,1555.2231215920826,0.005938889373211614,3.672654536261946e-05,0.07863889850124305,0.020213756192553133,7.947937607775296e-06,0.0003009138608318166,323.61146617691475,1.0,0.5,2.5,1.0,0.0,1.5678553351957571
0.4044233540794903,40971161.66128033,1554.653097442279,0.005935624568211852,3.669290185675941e-05,0.07862448572058468,0.020221167703974516,7.949394556973463e-06,0.00030085870993886305,323.4335661915201,1.0,0.5,2.5,1.0,0.0,1.5675679817932948
0.40457163865754114,40986184.01683401,1554.0832822191098,0.005932361557983977,3.665928917017398e-05,0.07861007558147205,0.020228581932877056,7.950851773247326e-06,0.00030080356915385527,323.2557640036639,1.0,0.5,2.5,1.0,0.0,1.5672806810563917
0.40471997760514267,41001211.880436696,1553.5136758459978,0.005929100341541343,3.6625707274631016e-05,0.07859566808342101,0.020235998880257136,7.952309256645845e-06,0.00030074843847494075,323.0780595595836,1.0,0.5,2.5,1.0,0.0,1.5669934329753958
0.40486837094223,41016245.25410796,1552.944278246395,0.005925840917897848,3.659215614192428e-05,0.07858126322594754,0.0202434185471115,7.953767007217988e-06,0.0003006933179002673,322.9004528055462,1.0,0.5,2.5,1.0,0.0,1.5667062375406557
0.4050168186887454,41031284.139868096,1552.3750893437814,0.005922583286067929,3.655863574387332e-05,0.07856686100856763,0.02025084093443727,7.955225025012723e-06,0.0003006382074279829,322.72294368784827,1.0,0.5,2.5,1.0,0.0,1.5664190947425227
0.40516532086463847,41046328.53973817,1551.806109061664,0.005919327445066564,3.6525146052323495e-05,0.07855246143079742,0.020258266043231925,7.956683310079044e-06,0.00030058310705623605,322.54553215281567,1.0,0.5,2.5,1.0,0.0,1.5661320045713498
0.40531387748986586,41061378.45573993,1551.2373373235803,0.005916073393909281,3.649168703914608e-05,0.07853806449215317,0.020265693874493295,7.958141862465938e-06,0.0003005280167831756,322.3682181468043,1.0,0.5,2.5,1.0,0.0,1.5658449670174917
0.4054624885843921,41076433.88989593,1550.6687740530922,0.00591282113161214,3.645825867623794e-05,0.07852367019215112,0.020273124429219608,7.95960068222241e-06,0.0003004729366069506,322.19100161619883,1.0,0.5,2.5,1.0,0.0,1.5655579820713041
0.40561115416818866,41091494.844229445,1550.1004191737932,0.005909570657191744,3.642486093552179e-05,0.0785092785303077,0.020280557708409433,7.961059769397475e-06,0.00030041786652571065,322.01388250741394,1.0,0.5,2.5,1.0,0.0,1.5652710497231461
0.4057598742612343,41106561.32076447,1549.532272609303,0.0059063219696652396,3.639149378894606e-05,0.07849488950613942,0.020287993713061715,7.962519124040153e-06,0.00030036280653760546,321.83686076689384,1.0,0.5,2.5,1.0,0.0,1.5649841699633773
0.40590864888351524,41121633.32152576,1548.9643342832687,0.005903075068050309,3.635815720848483e-05,0.0784805031191628,0.020295432444175764,7.963978746199469e-06,0.00030030775664078517,321.6599363411116,1.0,0.5,2.5,1.0,0.0,1.5646973427823594
0.40605747805502507,41136710.84853881,1548.396604119367,0.0058998299513651825,3.632485116613792e-05,0.07846611936889453,0.02030287390275125,7.965438635924467e-06,0.00030025271683340035,321.4831091765703,1.0,0.5,2.5,1.0,0.0,1.5644105681704554
0.4062063617957645,41151793.90382986,1547.8290820413024,0.005896586618628619,3.6291575633930735e-05,0.07845173825485137,0.02031031808978823,7.966898793264195e-06,0.00030019768711360173,321.3063792198022,1.0,0.5,2.5,1.0,0.0,1.5641238461180316
0.40635530012574184,41166882.48942589,1547.2617679728055,0.005893345068859927,3.625833058391434e-05,0.07843735977655013,0.020317765006287094,7.968359218267705e-06,0.0003001426674795406,321.1297464173688,1.0,0.5,2.5,1.0,0.0,1.5638371766154542
0.40650429306497265,41181976.60735463,1546.694661837636,0.005890105301078946,3.622511598816536e-05,0.07842298393350773,0.020325214653248633,7.969819910984068e-06,0.0003000876579293683,320.95321071586113,1.0,0.5,2.5,1.0,0.0,1.5635505596530919
0.40665334063347963,41197076.259644546,1546.1277635595832,0.005886867314306061,3.619193181878611e-05,0.07840861072524123,0.02033266703167398,7.971280871462356e-06,0.0003000326584612368,320.77677206189975,1.0,0.5,2.5,1.0,0.0,1.5632639952213154
0.406802442851293,41212181.44832484,1545.561073062462,0.005883631107562191,3.6158778047904345e-05,0.07839424015126771,0.020340122142564653,7.972742099751656e-06,0.0002999776690732983,320.60043040213446,1.0,0.5,2.5,1.0,0.0,1.5629774833104975
0.40695159973845035,41227292.17542547,1544.9945902701154,0.005880396679868798,3.61256546476734e-05,0.07837987221110435,0.02034757998692252,7.974203595901057e-06,0.00029992268976370524,320.4241856832441,1.0,0.5,2.5,1.0,0.0,1.5626910239110117
0.40710081131499665,41242408.442977145,1544.428315106416,0.005877164030247874,3.609256159027211e-05,0.07836550690426844,0.02035504056574983,7.975665359959661e-06,0.00029986772053061054,320.2480378519371,1.0,0.5,2.5,1.0,0.0,1.5624046170132337
0.407250077600984,41257530.2530113,1543.8622474952633,0.0058739331577219575,3.605949884790482e-05,0.07835114423027736,0.0203625038800492,7.977127391976586e-06,0.00029981276137216735,320.0719868549513,1.0,0.5,2.5,1.0,0.0,1.562118262607542
0.40739939861647206,41272657.607560135,1543.296387360583,0.005870704061314115,3.602646639280124e-05,0.07833678418864853,0.020369969930823604,7.978589692000942e-06,0.0002997578122865292,319.8960326390533,1.0,0.5,2.5,1.0,0.0,1.5618319606843145
0.4075487743815277,41287790.50865656,1542.7307346263317,0.005867476740047962,3.599346419721668e-05,0.07832242677889956,0.020377438719076386,7.980052260081865e-06,0.00029970287327185007,319.7201751510397,1.0,0.5,2.5,1.0,0.0,1.561545711233934
0.40769820491622527,41302928.95833428,1542.1652892164923,0.005864251192947641,3.596049223343175e-05,0.07830807200054801,0.020384910245811266,7.981515096268489e-06,0.0002996479443262841,319.54441433773576,1.0,0.5,2.5,1.0,0.0,1.561259514246782
0.40784769024064643,41318072.95862771,1541.600051055076,0.0058610274190378335,3.5927550473752495e-05,0.07829371985311166,0.020392384512032322,7.982978200609961e-06,0.0002995930254479858,319.3687501459963,1.0,0.5,2.5,1.0,0.0,1.5609733697132435
0.4079972303748802,41333222.51157202,1541.0350200661208,0.005857805417343757,3.589463889051029e-05,0.07827937033610831,0.02039986151874401,7.984441573155437e-06,0.00029953811663511017,319.193182522705,1.0,0.5,2.5,1.0,0.0,1.5606872776237053
0.408146825339023,41348377.61920313,1540.470196173694,0.005854585186891169,3.586175745606192e-05,0.07826502344905584,0.020407341266951155,7.985905213954085e-06,0.00029948321788581233,319.0177114147752,1.0,0.5,2.5,1.0,0.0,1.5604012379685555
0.4082964751531787,41363538.283557706,1539.9055793018897,0.005851366726706356,3.5828906142789414e-05,0.07825067919147223,0.020414823757658934,7.987369123055074e-06,0.0002994283291982479,318.842336769149,1.0,0.5,2.5,1.0,0.0,1.5601152507381835
0.4084461798374582,41378704.50667315,1539.341169374831,0.0058481500358161425,3.5796084923100176e-05,0.0782363375628756,0.020422308991872907,7.988833300507592e-06,0.0002993734505705728,318.66705853279814,1.0,0.5,2.5,1.0,0.0,1.5598293159229817
0.4085959394119801,41393876.29058763,1538.7769663166669,0.005844935113247889,3.576329376942684e-05,0.07822199856278408,0.020429796970599007,7.99029774636083e-06,0.00029931858200094323,318.4918766527231,1.0,0.5,2.5,1.0,0.0,1.5595434335133431
0.40874575389687023,41409053.63734003,1538.212970051576,0.0058417219580294945,3.573053265422731e-05,0.07820766219071593,0.02043728769484351,7.991762460663984e-06,0.0002992637234875158,318.3167910759536,1.0,0.5,2.5,1.0,0.0,1.5592576034996628
0.408895623312262,41424236.54897003,1537.6491805037642,0.005838510569189382,3.569780154998472e-05,0.07819332844618951,0.020444781165613102,7.993227443466272e-06,0.00029920887502844746,318.1418017495484,1.0,0.5,2.5,1.0,0.0,1.5589718258723386
0.40904554767829593,41439425.02751802,1537.0855975974634,0.0058353009457565155,3.566510042920737e-05,0.0781789973287232,0.0204522773839148,7.994692694816905e-06,0.0002991540366218954,317.9669086205956,1.0,0.5,2.5,1.0,0.0,1.5586861006217678
0.4091955270151201,41454619.07502514,1536.5222212569374,0.005832093086760396,3.563242926442884e-05,0.07816466883783557,0.020459776350756003,7.996158214765117e-06,0.0002990992082660172,317.79211163621244,1.0,0.5,2.5,1.0,0.0,1.5584004277383523
0.40934556134288985,41469818.693533294,1535.9590514064732,0.005828886991231051,3.559978802820778e-05,0.07815034297304521,0.020467278067144493,7.99762400336014e-06,0.000299044389958971,317.6174107435448,1.0,0.5,2.5,1.0,0.0,1.558114807212494
0.4094956506817681,41485023.885085136,1535.3960879703873,0.0058256826581990434,3.5567176693127984e-05,0.07813601973387077,0.020474782534088406,7.999090060651222e-06,0.0002989895816989147,317.44280588976767,1.0,0.5,2.5,1.0,0.0,1.5578292390345958
0.4096457950519249,41500234.65172404,1534.833330873027,0.005822480086695474,3.553459523179847e-05,0.07812169911983113,0.020482289752596243,8.00055638668762e-06,0.0002989347834840073,317.26829702208585,1.0,0.5,2.5,1.0,0.0,1.5575437231950653
0.409795994473538,41515450.995494165,1534.2707800387616,0.005819279275751964,3.5502043616853164e-05,0.07810738113044507,0.020489799723676903,8.002022981518598e-06,0.0002988799953124074,317.09388408773225,1.0,0.5,2.5,1.0,0.0,1.5572582596843085
0.4099462489667923,41530672.9184404,1533.7084353919925,0.0058160802244006824,3.546952182095122e-05,0.07809306576523159,0.020497312448339616,8.00348984519343e-06,0.00029882521718227456,316.91956703396903,1.0,0.5,2.5,1.0,0.0,1.5569728484927352
0.41009655855188026,41545900.42260839,1533.1462968571466,0.005812882931674321,3.543702981677676e-05,0.07807875302370972,0.020504827927594012,8.004956977761392e-06,0.0002987704490917683,316.7453458080876,1.0,0.5,2.5,1.0,0.0,1.5566874896107568
0.4102469232490016,41561133.51004452,1532.5843643586802,0.005809687396606105,3.5404567577038965e-05,0.07806444290539861,0.02051234616245008,8.006424379271783e-06,0.00029871569103904854,316.57122035740827,1.0,0.5,2.5,1.0,0.0,1.5564021830287857
0.4103973430783635,41576372.18279594,1532.0226378210753,0.00580649361822979,3.537213507447198e-05,0.07805013540981748,0.020519867153918174,8.007892049773899e-06,0.0002986609430222756,316.39719062928003,1.0,0.5,2.5,1.0,0.0,1.5561169287372365
0.4105478180601807,41591616.44291055,1531.461117168843,0.005803301595579663,3.533973228183492e-05,0.07803583053648562,0.020527390903009035,8.009359989317048e-06,0.00029860620503961005,316.22325657108115,1.0,0.5,2.5,1.0,0.0,1.555831726726526
0.41069834821467505,41606866.29243699,1530.8998023265224,0.005800111327690546,3.5307359171911945e-05,0.07802152828492248,0.020534917410733756,8.010828197950552e-06,0.00029855147708921295,316.04941813021867,1.0,0.5,2.5,1.0,0.0,1.5555465769870715
0.4108489335620762,41622121.73342464,1530.3386932186786,0.005796922813597788,3.527501571751203e-05,0.0780072286546475,0.02054244667810381,8.012296675723739e-06,0.00029849675916924557,315.8756752541285,1.0,0.5,2.5,1.0,0.0,1.5552614795092934
0.41099957412262084,41637382.767923675,1529.7777897699057,0.005793736052337267,3.524270189146911e-05,0.07799293164518026,0.020549978706131043,8.013765422685941e-06,0.00029844205127786954,315.7020278902755,1.0,0.5,2.5,1.0,0.0,1.5549764342836132
0.41115026991655323,41652649.397984974,1529.2170919048247,0.005790551042945396,3.521041766664204e-05,0.07797863725604044,0.020557513495827663,8.015234438886505e-06,0.0002983873534132469,315.5284759861534,1.0,0.5,2.5,1.0,0.0,1.5546914413004538
0.41130102096412524,41667921.625660196,1528.6565995480846,0.00578736778445911,3.5178163015914455e-05,0.07796434548674777,0.020565051048206263,8.016703724374788e-06,0.0002983326655735399,315.3550194892848,1.0,0.5,2.5,1.0,0.0,1.5544065005502405
0.4114518272855958,41683199.45300174,1528.0963126243632,0.005784186275915882,3.514593791219493e-05,0.07795005633682213,0.02057259136427979,8.018173279200152e-06,0.00029827798775691126,315.18165834722146,1.0,0.5,2.5,1.0,0.0,1.5541216120234005
0.41160268890123164,41698482.88206277,1527.5362310583628,0.005781006516353707,3.511374232841673e-05,0.0779357698057834,0.020580134445061585,8.019643103411967e-06,0.0002982233199615239,315.00839250754325,1.0,0.5,2.5,1.0,0.0,1.5538367757103622
0.4117536058313066,41713771.91489718,1526.9763547748169,0.005777828504811115,3.508157623753807e-05,0.07792148589315165,0.02058768029156533,8.02111319705962e-06,0.0002981686621855411,314.8352219178596,1.0,0.5,2.5,1.0,0.0,1.5535519916015559
0.4119045780961022,41729066.55355965,1526.4166836984834,0.005774652240327159,3.504943961254181e-05,0.07790720459844692,0.020595228904805113,8.022583560192497e-06,0.0002981140144271267,314.66214652580817,1.0,0.5,2.5,1.0,0.0,1.5532672596874135
0.4120556057159071,41744366.80010557,1525.8572177541507,0.0057714777219414265,3.501733242643563e-05,0.07789292592118946,0.020602780285795357,8.024054192859999e-06,0.00029805937668444453,314.4891662790559,1.0,0.5,2.5,1.0,0.0,1.5529825799583692
0.4122066887110179,41759672.65659115,1525.2979568666317,0.005768304948694022,3.498525465225185e-05,0.07787864986089948,0.0206103344355509,8.025525095111539e-06,0.000298004748955659,314.31628112529785,1.0,0.5,2.5,1.0,0.0,1.5526979524048583
0.4123578271017381,41774984.12507327,1524.7389009607703,0.005765133919625591,3.4953206263047646e-05,0.07786437641709744,0.020617891355086907,8.026996266996532e-06,0.0002979501312389348,314.1434910122588,1.0,0.5,2.5,1.0,0.0,1.552413377017319
0.4125090209083789,41790301.20760962,1524.1800499614346,0.005761964633777301,3.492118723190473e-05,0.07785010558930372,0.020625451045418946,8.0284677085644e-06,0.0002978955235324369,313.9707958876913,1.0,0.5,2.5,1.0,0.0,1.5521288537861895
0.412660270151259,41805623.90625865,1523.6214037935222,0.005758797090190841,3.4889197531929525e-05,0.07783583737703889,0.020633013507562952,8.029939419864583e-06,0.0002978409258343307,313.798195699377,1.0,0.5,2.5,1.0,0.0,1.551844382701911
0.4128115748507044,41820952.22307952,1523.0629623819582,0.0057556312879084364,3.4857237136253114e-05,0.07782157177982359,0.020640578742535224,8.031411400946528e-06,0.0002977863381427818,313.6256903951266,1.0,0.5,2.5,1.0,0.0,1.551559963754926
0.41296293502704884,41836286.16013219,1522.5047256516943,0.005752467225972829,3.482530601803114e-05,0.07780730879717851,0.020648146751352445,8.03288365185969e-06,0.00029773176045595626,313.45327992277896,1.0,0.5,2.5,1.0,0.0,1.551275596935679
0.4131143507006329,41851625.71947734,1521.946693527711,0.0057493049034273,3.4793404150443916e-05,0.0777930484286245,0.020655717535031645,8.034356172653526e-06,0.00029767719277202045,313.2809642302019,1.0,0.5,2.5,1.0,0.0,1.5509912822346166
0.4132658218918054,41866970.903176434,1521.3888659350139,0.005746144319315642,3.476153150669622e-05,0.07777879067368239,0.02066329109459027,8.03582896337751e-06,0.0002976226350891411,313.1087432652917,1.0,0.5,2.5,1.0,0.0,1.5507070196421857
0.41341734862092205,41882321.713291675,1520.8312427986398,0.005742985472682182,3.4729688060017476e-05,0.07776453553187325,0.020670867431046104,8.03730202408113e-06,0.0002975680874054851,312.9366169759737,1.0,0.5,2.5,1.0,0.0,1.5504228091488366
0.4135689309083462,41897678.15188602,1520.273824043649,0.0057398283625717745,3.4697873783661565e-05,0.07775028300271807,0.02067844654541731,8.038775354813867e-06,0.0002975135497192199,312.7645853102013,1.0,0.5,2.5,1.0,0.0,1.5501386507450206
0.41372056877444885,41913040.22102322,1519.716609595133,0.005736672988029786,3.4666088650906904e-05,0.07773603308573805,0.020686028438722446,8.040248955625232e-06,0.0002974590220285132,312.59264821595684,1.0,0.5,2.5,1.0,0.0,1.5498545444211906
0.41387226223960816,41928407.922767706,1519.1595993782066,0.005733519348102127,3.463433263505635e-05,0.07772178578045442,0.02069361311198041,8.04172282656472e-06,0.0002974045043315331,312.4208056412512,1.0,0.5,2.5,1.0,0.0,1.5495704901678018
0.4140240113242099,41943781.25918474,1518.6027933180164,0.005730367441835217,3.460260570943727e-05,0.07770754108638853,0.020701200566210495,8.043196967681859e-06,0.0002973499966264478,312.24905753412395,1.0,0.5,2.5,1.0,0.0,1.5492864879753105
