R,R/Rg,Tc,rho,P,cs,H,visc,Sigma,Q,grad_T,grad_Sigma,grad_P,zone,grad_P_raw,grad_Sigma_raw
11.862106681819839,12.017216256227107,347093.113929288,6.0755384706555935e-05,6.912165599958266,337.29870948146146,1.3780072138739077,46.48000548958133,0.00016744271681463715,156945865.67061844,0.4002032275765109,-0.39661495191931573,1.5983131099673513,Standard,1.5983131099673513,-0.39661495191931573
11.896143526491041,12.051698168594353,346695.33411408507,6.0649556539753046e-05,6.880583059361476,336.82072478568375,1.3819813181930507,46.547994923405795,0.0001676331081892638,155874084.6114447,0.40031736408946017,-0.39753366075092345,1.5987644649762842,Standard,1.5987644649762842,-0.39753366075092345
11.930278035668772,12.086279022534711,346297.7836665594,6.054470680473041e-05,6.849127107976256,336.34077675174433,1.385956002173737,46.61535183148569,0.00016782459959173044,154807592.27693117,0.4005458058941258,-0.39935755007491025,1.5996679410309298,Standard,1.5996679410309298,-0.39935755007491025
11.964510489589202,12.120959101948735,345900.46250889613,6.044082195597843e-05,6.817797299495963,335.8589002711881,1.3899313066339123,46.682080009856136,0.00016801718127060157,153746403.52501047,0.4007745859789793,-0.4011544949466952,1.6005729511907703,Standard,1.6005729511907703,-0.4011544949466952
11.998841169292602,12.155738691551594,345503.3705626378,6.0337888634258844e-05,6.786593189010185,335.37512990564943,1.39390727245498,46.74818325760184,0.0001682108435437442,152690532.22893658,0.40100370579102673,-0.40292471829911847,1.6014794995262491,Standard,1.6014794995262491,-0.40292471829911847
12.033270356625707,12.190618076875467,345106.5077486928,6.023589366315556e-05,6.755514333000663,334.8894998895782,1.3978839405826478,46.813665376539575,0.0001684055767967385,151639991.29618102,0.40123316677818366,-0.40466844005482017,1.6023875901287283,Standard,1.6023875901287283,-0.40466844005482017
12.067798334243946,12.2255975442718,344709.873987337,6.0134824045700305e-05,6.724560289337325,334.4020441329477,1.4018613520277736,46.87853017090653,0.00016860137148131546,150594792.68708614,0.4014629703929131,-0.4063858771728519,1.6032972271095787,Standard,1.6032972271095787,-0.4063858771728519
12.102425385613826,12.260677380913725,344313.4691982203,6.0034666961072344e-05,6.693730617274275,333.9127962239374,1.405839547867219,46.9427814470539,0.00016879821811382605,149554947.4332642,0.40169311808358543,-0.4080772436973348,1.604208414601544,Standard,1.604208414601544,-0.4080772436973348
12.137151795015166,12.29585787479832,343917.2933003718,5.9935409761369415e-05,6.663024877445868,333.421789431597,1.4098185692446923,47.00642301314591,0.00016899610727373642,148520465.65575558,0.40192361130584686,-0.40974275080156985,1.605121156752375,Standard,1.605121156752375,-0.40974275080156985
12.171977847543499,12.331139314749043,343521.3462122043,5.9837039968447785e-05,6.6324426318627205,332.92905670848967,1.4137984573716182,47.06945867886507,0.00016919502960215072,147491356.5829405,0.4021544515126152,-0.4113826068310118,1.6060354577316502,Standard,1.6060354577316502,-0.4113826068310118
12.206903829112447,12.366521990418141,343125.6278515177,5.9739545270828725e-05,6.601983443907634,332.43463069331557,1.417779253528018,47.13189225512313,0.00016939497580035763,146467628.56821245,0.40238564015999145,-0.41299701734942573,1.60695132173214,Standard,1.60695132173214,-0.41299701734942573
12.24193002645601,12.40200619228896,342730.1381355051,5.964291352067433e-05,6.5716468783317765,331.93854371351335,1.4217609990633595,47.19372755377614,0.00016959593662840703,145449289.1074085,0.40261717870407665,-0.41458618518458934,1.6078687529616218,Standard,1.6078687529616218,-0.41458618518458934
12.277056727130953,12.437592211678375,342334.8769807577,5.954713273082662e-05,6.541432501250717,331.4408277878406,1.4257437353974354,47.25496838734539,0.0001697979029037113,144436344.85600045,0.4028490686064288,-0.41615031046467266,1.6087877556519743,Standard,1.6087877556519743,-0.41615031046467266
12.3122842195191,12.473280340739105,341939.84430326655,5.945219107190803e-05,6.51133988014051,330.94151462894,1.4297275040212454,47.31561856874449,0.00017000086549966652,143428801.64605868,0.4030813113258773,-0.41768959066257594,1.6097083340496283,Standard,1.6097083340496283,-0.41768959066257594
12.347612792829755,12.509070872462175,341545.0400184318,5.9358076869486054e-05,6.481368583833783,330.4406356458782,1.4337123464978765,47.37568191101019,0.0001702048153443044,142426664.50296977,0.4033139083248898,-0.4192042206389033,1.6106304924282995,Standard,1.6106304924282995,-0.4192042206389033
12.383042737102116,12.544964100679351,341150.46404106275,5.926477860129608e-05,6.451518182515781,329.9382219466688,1.4376983044633995,47.435162227039456,0.00017040974341896433,141429937.661928,0.4035468610677526,-0.4206943926783424,1.6115542350753458,Standard,1.6115542350753458,-0.4206943926783424
12.418574343207599,12.580960320065497,340756.11628538446,5.917228489452431e-05,6.42178824772058,329.43430434077493,1.44168541962775,47.4940633293306,0.00017061564075699016,140438624.58419606,0.40378017102011654,-0.42216029653059195,1.6124795663017721,Standard,1.6124795663017721,-0.42216029653059195
