R,R/Rg,Tc,rho,P,cs,H,visc,Sigma,Q,grad_T,grad_Sigma,grad_P,zone,grad_P_raw,grad_Sigma_raw
9.870628713769017,10.0,357326.597477991,2.436629849553434e-05,7.803121203323643,565.8996121446318,1.754919744008842,99.31084024795601,4.27608918773221e-05,1358354267.1433785,0.37499334108036597,0.20493883572708035,1.4999869263936219,Standard,1.4999869263936219,0.20493883572708035
9.907067823744368,10.03691670615117,356833.18353397906,2.4195417613793154e-05,7.760110287624648,566.3271540878204,1.7659797911964479,100.01223093248876,4.2728612170259486e-05,1352908820.6663525,0.3749933598869575,0.1980621277409682,1.4999867454071136,Standard,1.4999867454071136,0.1980621277409682
9.94364145491125,10.073969696621639,356340.45087054884,2.402817054303889e-05,7.717336459001853,566.7262964000017,1.777019479885184,100.70836684659876,4.269852071959098e-05,1347348630.0319784,0.3749934938189199,0.18440658605823046,1.4999867741016715,Standard,1.4999867741016715,0.18440658605823046
9.980350103877603,10.111159474528234,355848.3982944938,2.3864463912815142e-05,7.674798388417723,567.0973872513138,1.7880388488272432,101.39921594737766,4.267058215652544e-05,1341677226.1944509,0.37499383783938356,0.17094518831027017,1.4999876537553973,Standard,1.4999876537553973,0.17094518831027017
10.017194269084662,10.148486544845106,355357.02456959983,2.3704207392959193e-05,7.632494750610479,567.4407724342257,1.7990379397249132,102.08474781559826,4.264476202596199e-05,1335898100.6352274,0.37499413376440316,0.1576727825956823,1.4999883512391534,Standard,1.4999883512391534,0.1576727825956823
10.05417445081376,10.185951414410619,354866.3291834537,2.354731412087641e-05,7.5904242897376495,567.7567912106264,1.8100167839832297,102.7649321311696,4.262102737883206e-05,1330014675.509643,0.3749943139871448,0.14458509416476772,1.4999885957668084,Standard,1.4999885957668084,0.14458509416476772
10.091291151193087,10.223554591934207,354376.31107929157,2.3393699755941117e-05,7.548585709998015,568.0457821178741,1.8209754209466888,103.43974072090869,4.25993458681696e-05,1324030344.3553169,0.37499452886140716,0.1316792070806514,1.4999889884325057,Standard,1.4999889884325057,0.1316792070806514
10.12854487420453,10.261296588003288,353886.9693527267,2.3243282818143363e-05,7.506977735679939,568.3080798324927,1.8319138879226804,104.10914640638147,4.257968619206045e-05,1317948449.4104917,0.3749947781573155,0.11895119858490943,1.4999895279852353,Standard,1.4999895279852353,0.11895119858490943
10.165936125690523,10.299177915090219,353398.3029508827,2.3095984428976953e-05,7.465599085430901,568.544016039881,1.8428322228549248,104.77312328696398,4.2562017935219394e-05,1311772287.3681746,0.3749950062588141,0.10639715057891408,1.4999899916392678,Standard,1.4999899916392678,0.10639715057891408
10.203465413360885,10.337199087559213,352910.31111688685,2.29517284088567e-05,7.424448509885639,568.7539184160049,1.853730460933887,105.4316463343255,4.254631169498984e-05,1305505101.9885082,0.37499517541436944,0.0940135986727455,1.4999902280883362,Standard,1.4999902280883362,0.0940135986727455
