R,R/Rg,Tc,rho,P,cs,H,visc,Sigma,Q,grad_T,grad_Sigma,grad_P,zone,grad_P_raw,grad_Sigma_raw
9.870628713769017,10.0,357326.58315916534,2.4480199501825297e-05,7.8031205837505055,564.581551334979,1.7508322859349663,98.84876081205311,4.286071716889711e-05,1352034143.181408,0.37499335054672156,0.20493907381578147,1.4999870276624638,Standard,1.4999870276624638,0.20493907381578147
9.907067823744368,10.03691670615117,356833.1692224779,2.430851980178733e-05,7.760109668570816,565.008097719927,1.7618665734700247,99.54688811126248,4.2828362067291774e-05,1346614034.9425576,0.37499335508323384,0.1980622286750986,1.4999867883952902,Standard,1.4999867883952902,0.1980622286750986
9.94364145491125,10.073969696621639,356340.43660385447,2.414049093428672e-05,7.717335843795127,565.4063103352476,1.7728805490377095,100.23978498965393,4.2798200373877774e-05,1341079714.3778076,0.37499348517258113,0.18440659632233292,1.4999867993474254,Standard,1.4999867993474254,0.18440659632233292
9.980350103877603,10.111159474528234,355848.3840451639,2.3976019041770472e-05,7.674797774741625,565.7765369223976,1.7838742524903854,100.92741968790409,4.2770196579320725e-05,1335434698.7488594,0.3749938409027891,0.17094510562174037,1.4999877235159147,Standard,1.4999877235159147,0.17094510562174037
10.017194269084662,10.148486544845106,355357.0103342567,2.3815013411184653e-05,7.632494138243132,566.119122080781,1.7948477242092078,101.60976178980047,4.2744316206679834e-05,1329682460.5503898,0.37499405548783216,0.15767241968501367,1.4999880933610257,Standard,1.4999880933610257,0.15767241968501367
10.05417445081376,10.185951414410619,354866.31517816405,2.365738683216146e-05,7.590423697233644,566.4344042787883,1.8058009955002012,102.28678111321992,4.272052623031694e-05,1323826406.0224445,0.3749943121326851,0.14458510055465013,1.4999886413588683,Standard,1.4999886413588683,0.14458510055465013
10.091291151193087,10.223554591934207,354376.296888078,2.350305428803395e-05,7.548585101826464,566.7227226240756,1.816734109956447,102.95845010785443,4.269879402287374e-05,1317869922.4236953,0.37499452321026183,0.1316791480799111,1.4999890166541263,Standard,1.4999890166541263,0.1316791480799111
10.12854487420453,10.261296588003288,353886.9554008274,2.335193433018225e-05,7.506977148128373,566.9844087471814,1.8276470975491592,103.62474090024122,4.267908855104132e-05,1311816320.597681,0.37499469233830496,0.11895084787647647,1.4999892333894422,Standard,1.4999892333894422,0.11895084787647647
10.165936125690523,10.299177915090219,353398.289022346,2.320394739243872e-05,7.465598500153907,567.2197953553226,1.8385400018855216,104.285628362208,4.2661379058143927e-05,1305668894.4171748,0.3749950756086946,0.10639747075674677,1.4999903156358414,Standard,1.4999903156358414,0.10639747075674677
10.203465413360885,10.337199087559213,352910.29702312296,2.3059016930473446e-05,7.4244479110655455,567.4292095781035,1.8494128588125245,104.94108766595716,4.264563604051557e-05,1299430873.9766536,0.37499525095472563,0.0940140117829742,1.4999905747908997,Standard,1.4999905747908997,0.0940140117829742
